name,restaurant,email
Equipo Grand Cru,Grand Cru Wine Restaurant (Grupo Cru),info@cru.com.mx
Equipo Cantinetta,Cantinetta (Grupo Pasta),info@grupopasta.com
Equipo Gallo 71,Gallo 71,socialmedia@gallo71.mx
Equipo Jabalina,Jabalina (Michelin Guide),info@jabalina.com.mx
Equipo Campomar,Campomar Restaurante,hola@campomar.mx
Equipo Ryoshi,Ryoshi (Grupo Costeno),info@ryoshi.mx
Equipo Tigre,Tigre (Grupo Costeno),contacto@grupocosteno.com
Equipo Lazaro y Diego,Lazaro y Diego (Grupo Costeno),contacto@grupocosteno.com
Equipo Colmillo,Colmillo Arboleda,guestrelations@colmillo.mx
Equipo Lo Spuntino,Lo Spuntino Arboleda,lospuntinoarboleda18@gmail.com
Equipo Cantina La 20,Cantina La No.20,info@cantina20.com
Equipo Botanero Moritas,Botanero Moritas (multi-sucursal),info@botaneromoritas.com
Equipo Fidencio,Fidencio Botanero (multi-sucursal),info@fidenciomty.mx
Equipo Los Hidalgos,Los Hidalgos (2 sucursales),info@loshidalgos.mx
Equipo Cabanna,Cabanna Mariscos,info@cabanna.com.mx
Equipo La Embajada,La Embajada (Cocina Mexicana),info@laembajada.com.mx
Equipo Pacifica,Pacifica Langosta Bar (Grupo Pacifica),info@grupopacifica.com
Equipo Che Pebeta,Che Pebeta (Parrilla Argentina),chepebetarestaurant@gmail.com
Equipo Huajuco Grill,Huajuco Grill,huajuco.grill@live.com
Equipo Sera El Sereno,Sera El Sereno (Pueblo Serena),info@seraelsereno.com
Equipo Reserva 85,Reserva 85 (Carretera Nacional),info@reserva85.mx
Equipo Condesa,Condesa (Carretera Nacional),info@condesa15.mx
Equipo Nomada XXI,Nomada XXI (BBQ),administracion@nomadaxxi.com
Equipo Matthew,Matthew Restaurant,administracion@matthew.com.mx
Equipo Lilou,Lilou Restaurante (Hotel Presidente),info@lilourestaurante.com
Equipo Kasumi,Kasumi Gusto Japones,info@kasumigustojapones.com
Equipo Fornera,Fornera Wine House (Cumbres),info@fornerawinehouse.com.mx
Equipo Noreste Grill,Noreste Grill (multi-sucursal),info@norestegrill.com.mx
Equipo Divitta,Divitta (Centrito Valle + sucursales),info@divitta.com
Equipo Mala Leche,Mala Leche MTY (Centrito Valle),info@malalechemty.com
Equipo Velde,Velde (Centrito Valle brunch+dinner),info@velde.mx
Equipo Mercado Centrito,Mercado Centrito,info@mercadocentritospgg.com
Equipo Cantaritos Valle,Cantaritos Valle (Centrito),info@cantaritosvalle.com
Equipo La Mia Pizza,La Mia Trattoria Pizza (Cumbres),lamiapizza20@gmail.com
Equipo Polly Pocket Cafe,Polly Pocket Cafe (Cumbres),hola@pollypocket.cafe
Equipo Bread Arboleda,Bread Panaderos Artesanales,info@breadpanaderos.com
Equipo L'Anfora,L'Anfora Di Iannilli (italiano),info@lanfora.mx
Equipo Il Duomo,Il Duomo (Grupo Pasta),info@grupopasta.com
Equipo La Pasteria,La Pasteria (Grupo Pasta),info@grupopasta.com
Equipo Hotsie,Hotsie (Fried Chicken San Pedro),info@hotsie.mx
Equipo Ensa,Ensa Salad Bar (San Pedro),info@ensasaladbar.com
Equipo Rootalia,Rootalia (Centrito Valle nuevo),info@rootalia.mx
Equipo Bandida,Bandida (San Agustin brunch),info@bandidarest.com
Equipo La Parrilla del Centrito,La Parrilla del Centrito (SPGG),info@laparrilladelcentrito.com
Equipo Maranato,Maranato (Mariscos San Pedro),info@maranato.mx
Equipo Gaea,Gaea Gastro Bar (Carretera Nacional),info@gaea5500.com
Equipo Wabi Mente Cafe,Wabi Mente + Cafe (San Nicolas),info@wabimentecafe.com
Equipo Bella Coffee,Bella Coffee (San Nicolas),info@bellacoffee.mx
Equipo Taza Mia,Taza Mia Cafeteria (San Nicolas),info@tazamia.mx
Equipo Le Fou,Le Fou Bistrot (San Pedro Armida),info@lefoubistrot.com
