name,restaurant,email
Grupo RosaNegra,"RosaNegra (Cancun, Tulum, CDMX, Cabo)",contacto@gruporosanegra.com.mx
Grupo Fisher's,"Fisher's, Luzine, Decrab, Fisher's House (28 locations)",ventaseventos@fishers.com.mx
Cafe Nin,"Cafe Nin (Roma, CDMX)",info@cafenin.com.mx
Grupo Rosetta,"Rosetta (Roma Norte, CDMX)",reservaciones@rrosetta.com.mx
Grupo Santa Sed,"Sanlucar, Taberna El Quillo (Queretaro)",direccion@gruposantased.com
Grupo Mole,"Taco Inn, El Farolito de Mole, others (CDMX)",contacto@grupomole.com
Grupo Potzollcalli,Potzollcalli (25 locations CDMX/EdoMex/Yucatan),mercadotecnia@potzollcalli.com
Grupo Lomas,"Restaurants + Hotels (Cancun, QRoo)",talento@grupolomas.com
Cafe Bola de Oro,"Bola de Oro (Xalapa, multiple locations)",contacto@boladeoro.com.mx
Restaurante Maximo Bistrot,"Maximo Bistrot (Roma Norte, CDMX)",info@maximobistrot.com.mx
Grupo Casamata (Enrique Olvera),"Pujol, Cosme, Atla, Damian, Ticuchi",info@casamata.com
Grupo Los Danzantes,"Los Danzantes (Oaxaca, CDMX)",oaxaca@losdanzantes.com
Grupo Contramar,"Contramar, Cala (CDMX)",mariana@grupocontramar.com
Grupo Puerto Madero,"Puerto Madero, PM, Bandoneon, Dale Boca (7 locations)",contacto@puertomaderorestaurantes.com
Cafebreria El Pendulo,"El Pendulo (Condesa, Polanco, Santa Fe, Perisur)",web@pendulo.com
Grupo Brisas,"Las Brisas, Galeria Plaza, Nizuc (Hotels+Restaurants)",info@brisas.com.mx
Grupo Presidente,"Au Pied de Cochon, Alfredo di Roma, Chapulin, The Palm (50+ bars/restaurants)",mexico_reservaciones@grupopresidente.com
Grupo Habita,"Hotel Habita, Downtown Hotel, Casa Habita (boutique hotels+restaurants)",rafa@grupohabita.mx
Harry's Prime Steakhouse,"Harry's (Cancun, Playa, Acapulco, Polanco)",contacto@harrys.com.mx
Porfirio's,"Porfirio's (CDMX, Guadalajara, multiple locations)",contacto@porfirios.com.mx
Cielito Querido Cafe,"Cielito Querido (CDMX, national chain)",datos.personales@cielitoquerido.com.mx
Tierra Garat,"Tierra Garat (CDMX, multiple locations)",tierragaratmx@gmail.com
Coco Bongo,"Coco Bongo Show & Disco (Cancun, Playa del Carmen)",contacto@cocobongo.net
Grupo La Mansion,"La Mansion (CDMX, multiple locations)",esmeralda@lamansion.com.mx
Cafe Garat / Sabormex,Cafe Garat (brand of Sabormex),contacto@sabormex.com.mx
La Poblanita de Tacubaya,"La Poblanita (CDMX, 2 locations since 1947)",direccion@poblanita.com.mx
Cafe Negro / Grupo Bakal,"Cafe Negro (Coyoacan, CDMX)",acadena@grupobakal.com
Sirloin Stockade Mexico,"Sirloin Stockade (Monterrey, Reynosa, Cancun, Toluca)",anahuac@sirloinmty.com
Sirloin Stockade Baja,Sirloin Stockade (Baja California),infosirloin@alcomesa.com
Wings Army,"Wings Army (29 states, national chain)",albertosantaella@franquiciasmaso.com
Restaurante Limosneros,"Limosneros (Centro Historico, CDMX)",reservacioneslimosneros@gmail.com
Madero Restaurante,"Madero Restaurante (Pachuca, Hidalgo)",atracciontalentomadero@mrc.mx
La Nacional,"La Nacional (Monterrey, 3 locations)",contacto@lanacional.mx
Chill-Akil,"Chill-Akil (Merida, 3 locations)",franquicias@chillakil.com.mx
Italiannis Mexico,"Italiannis (national chain, 100+ locations)",ch_aeropuertoT1@chilismexico.com.mx
Chili's Mexico,Chili's Grill & Bar Mexico (national chain),contacto@chilismexico.com.mx
Grupo Andersons,"Senor Frog's, Carlos'n Charlie's, Harry's, Porfirio's",ventas@andermail.com
Potzollcalli Banquetes,Potzollcalli Banquetes/Events,banquetes@potzollcalli.com
Rosetta - HR,Rosetta group (CDMX),rh@rrosetta.com.mx
La Parroquia de Veracruz,"La Parroquia (Veracruz, CDMX, Yucatan)",grancafedelaparroquia@outlook.com
Cafe Avellaneda,"Cafe Avellaneda (Coyoacan, CDMX)",avellanedakf@gmail.com
Fisher's Catering,Fisher's Catering/Events,agabucio@fishers.com.mx
Grupo Contramar - Catering,Contramar Catering (CDMX),catering@grupocontramar.com
Grupo Presidente - Hotels,"InterContinental, Holiday Inn restaurants",mexico_reservaciones@grupopresidente.com.mx
Rosetta - Events,Rosetta Events (CDMX),eventos@rrosetta.com.mx
Toks Social,Toks (257 restaurants),responsabilidadsocial@toks.com.mx
La Casa de Tono,"La Casa de Tono (CDMX chain, 20+ locations)",contacto@lacasadetono.mx
Lomas Hospitality,Grupo Lomas Hotels + Restaurants (Cancun),bookwithus@lomashospitality.com
Grupo Costeno - RH,"Mochomos, brands (HR contact)",rh@grupocosteno.com
Grupo Andersons - Corporate,All Grupo Andersons brands,rodrigo.prado@andermail.com
Grupo Rosetta - Facturas,Rosetta billing,facturas@rrosetta.com.mx
Grupo RosaNegra - Madrid/Intl,RosaNegra International,ventasmadrid@gruporosanegra.com.mx
Cielito Querido Cafe - Alt,Cielito Querido corporate,contacto@cielitoquerido.com.mx
Cafe Garat - Exports,Cafe Garat / Sabormex exports,exportaciones@sabormex.com.mx
Grupo Carolo - Corporate,"Carolo restaurants (Monterrey, CDMX)",info@grupocarolo.com.mx
Cafebreria El Pendulo - Mgmt,"El Pendulo (Condesa, Polanco, etc)",liliana.dominguez@pendulo.com
La Mansion - Service,La Mansion restaurants (CDMX),atencion@lamansion.com.mx
