name,restaurant,email
Equipo Cara de Vaca,Cara de Vaca,hola@caradevaca.com
Equipo Cafe Limon,Cafe Limon,hola@cafe-limon.com
Equipo Kona Coffee Experience,Kona Coffee Experience,contacto@konaexperience.com
Equipo Grupo Barra,Grupo Barra (La Buena Barra / Gran Barra / Doble B),contacto@grupobarra.com.mx
Equipo El Jonuco,El Jonuco,info@eljonuco.com.mx
Equipo Restaurante San Carlos,Restaurante San Carlos,ventas@restaurantesancarlos.com
Equipo RP Catering,RP Catering (operaciones),operaciones@rpcatering.com.mx
Equipo RP Catering,RP Catering (ventas),ventas@rpcatering.com.mx
Equipo Almacen 42,Almacen 42,info@almacen42.com
Equipo Restaurante Pangea,Restaurante Pangea (alta cocina),reservaciones@restaurantepangea.com
Equipo Bistro Bardot,Bistro Bardot (Grupo Pangea),reservasbardot@grupopangea.com
Equipo Cafe Laurel,Cafe Laurel (Grupo Pangea),laurelcafelaurel@gmail.com
Equipo El Lindero,El Lindero,ajua@ellindero.com
Equipo Koli Cocina de Origen,Koli Cocina de Origen,reservaciones@koli.mx
Equipo El Gran Pastor,El Gran Pastor (Garza Sada),garzasada@granpastor.com
Equipo El Gran Pastor,El Gran Pastor (Linda Vista),lindavista@granpastor.com
Equipo El Gran Pastor,El Gran Pastor (Simon Bolivar),simonbolivar@granpastor.com
Equipo Restaurante Los Fresnos,Restaurante Los Fresnos,info@restaurantelosfresnos.com
Equipo El Gaucho Restaurante,El Gaucho Restaurante,info@restauranteelgaucho.com
Equipo La Colonia San Pedro,La Colonia San Pedro,reservaciones@lacoloniasanpedro.mx
Equipo Los Generales Buffets,Los Generales Buffets,eventos@generales.com.mx
Equipo Restaurante Mirador,Restaurante Mirador,mirador_rest@hotmail.com
Equipo Taqueria Orinoco,Taqueria Orinoco,info@tr3sco.com
Equipo Sirloin Stockade Mexico,Sirloin Stockade Mexico (Grupo Refran),customercare@gruporefran.com
Equipo Chapulin Restaurante,Chapulin Restaurante (Hotel Intercontinental),mexico_reservaciones@grupopresidente.com
Equipo Beluga Oyster Bar,Beluga Oyster Bar,contacto@beluga.com.mx
Equipo El Nuevo Nopal,El Nuevo Nopal,cafeteriagaby@yahoo.com.mx
Equipo Reina Comfort Food,Reina Comfort Food,reinaadmon@gmail.com
Equipo La Reynita Taqueria,La Reynita Taqueria,taquerialareynita@gmail.com
Equipo Old Jimmy's BBQ,Old Jimmy's BBQ,oldJimmyBBQ@gmail.com
Equipo Sushi Roll,Sushi Roll (franquicia NL),servicioaclientes@sushiroll.mx
Equipo Cinco Catering,Cinco Catering,contacto@cincocatering.com
Equipo Appetite Catering Corporate & Events,Appetite Catering Corporate & Events,info@appetitecatering.mx
Equipo Grupo Mesarosa Catering,Grupo Mesarosa Catering,ventas@mesarosa.mx
Equipo Sandra's Catering Services,Sandra's Catering Services,ventas@sandrascatering.mx
Equipo Cafe Belmonte Bar,Cafe Belmonte Bar,reservacionesbelmonte@gmail.com
Equipo Los Gaviones Terraza & Grill,Los Gaviones Terraza & Grill,contacto@losgaviones.com
Equipo La Nacional,La Nacional (Gastronomica Holdings),contacto@lanacional.mx
Equipo Senor Latino,Senor Latino,contacto@senorlatino.com
Equipo El Lingote Restaurante,El Lingote Restaurante,contacto@ellingote.com
Equipo Holsteins Steakhouse,Holsteins Steakhouse,reservaciones@holsteins.com.mx
Equipo Super Roma,Super Roma,contacto@superroma.mx
Equipo Firehouse Subs,Firehouse Subs (Grupo Inlosa - NL),contacto@firehousesubs.com.mx
Equipo Boquiaches,Boquiaches,hola@boquiaches.com.mx
Equipo Nectarworks,Nectarworks,hola@nectarworks.mx
Equipo Sanchez e Hijos Catering,Sanchez e Hijos Catering,contacto@sanchezehijoscatering.com
Equipo Cryzma Catering,Cryzma Catering,contacto@cryzma.com
Equipo Casa Benell,Casa Benell,hola@panbenell.com
Equipo RP Catering,RP Catering (personal gmail),cateringrodolfop@gmail.com
Equipo Los Gaviones,Los Gaviones (alt contact),losgaviones@hotmail.com
Equipo Blanc Eventos,Blanc Eventos,info@blanceventos.com.mx
Equipo Central de Carnes,Central de Carnes,contacto@ccarnes.mx
Equipo Los Legendarios,Los Legendarios,contacto@loslegendarios.mx
Equipo Casa Padre Mier,Casa Padre Mier,info@casapadremier.com
