menu_item_id,nombre,categoria,activo,clasificacion,recomendacion,decision_daniel
ws-actama27042601,SPRW - TOAST SALMON,activaciones,SI,SIN_FUENTE,crear receta,
ws-vl0011,BACARDI BCO 2oz,alcohol,SI,SIN_FUENTE,direct_stock (botella/oz),
al1,Cerveza Artesanal,alcohol,NO,NO_ACTION,inactivo,
ws-boh012,GIN DE LYCHEES,alcohol,SI,SIN_FUENTE,receta (coctel) o direct_stock,
ws-boh097,KINGSTON COFFEE,alcohol,SI,SIN_FUENTE,receta (coctel),
ws-vlo10,LICOR 43 2oz,alcohol,SI,SIN_FUENTE,direct_stock (oz),
ws-beoh001,MARGARITA ROSE,alcohol,SI,SIN_FUENTE,receta (coctel),
ws-boh006,MEZCALINTA DE JAMAICA,alcohol,SI,SIN_FUENTE,receta (coctel),
ws-boh005,MEZCALITA MANGO-PEPINO,alcohol,SI,SIN_FUENTE,receta (coctel),
ws-boh009,MEZCALITA MARACUYA,alcohol,SI,SIN_FUENTE,receta (coctel),
ws-boh023,STRAWBERRY PASION,alcohol,SI,SIN_FUENTE,receta (coctel),
al2,Vino Copa Tinto,alcohol,NO,NO_ACTION,inactivo,
ws-boh101,VINO ESPUMOSO BOTELLA,alcohol,SI,SIN_FUENTE,direct_stock (botella),
ws-pc007,GUACAMOLE,appetizers,SI,SIN_FUENTE,crear receta,
ws-pna021,CINAMMON ROLL BUTTER GLASS,bakery,SI,SIN_FUENTE,direct_stock o receta,
ws-ext010,Pan,bakery,SI,SIN_FUENTE,direct_stock,
bw2,FRUIT BOWL,bowls,SI,SIN_FUENTE,crear receta,
cv2,Ceviche Clasico,ceviche,NO,NO_ACTION,inactivo,
c1b,Chilaquiles Rojos,chilaquiles,NO,NO_ACTION,inactivo,
c1a,Chilaquiles Verdes,chilaquiles,NO,NO_ACTION,inactivo,
ws-chi008,COLD BREW,coffee,SI,SIN_FUENTE,crear receta,
ws-chi006,MATCHA LATTE CALIENTE,coffee,SI,SIN_FUENTE,crear receta,
cf7,Mocca Latte Caliente,coffee,NO,RECETA_INVALIDA,inactivo — arreglar receta si se reactiva,
cf9,Mocca Latte Frio,coffee,NO,RECETA_INVALIDA,inactivo — arreglar receta si se reactiva,
ws-chi013,RED VELVET LATTE,coffee,SI,SIN_FUENTE,crear receta,
cr1,CROQUE MADAME AMALAY,croissants,SI,SIN_FUENTE,crear receta,
cr5,Mummas Breakfast Croissant,croissants,NO,NO_ACTION,inactivo,
e9,BENEDICT OMELET,eggs,SI,SIN_FUENTE,crear receta,
e5,Egg and Pancake Combo,eggs,NO,NO_ACTION,inactivo,
e3,GARDEN OMELET,eggs,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
e2,Half & Half Combo,eggs,NO,NO_ACTION,inactivo,
ws-keb001,KETO PANELA WALLANDER,eggs,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
e1,MACHACADO CON HUEVO,eggs,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
e7,MISS BENEDICT KETO-PANELA WALLANDER,eggs,SI,SIN_FUENTE,crear receta,
e6,MISS. BENEDICT,eggs,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
e8,MR. BENEDICT,eggs,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
ws-dec200,DECORACION EVENTO $300,evento,SI,SIN_FUENTE,non_inventory,
ws-dec500,DECORACION EVENTO $500,evento,SI,SIN_FUENTE,non_inventory,
ws-ext036,CHICHARRON,extras,SI,SIN_FUENTE,direct_stock o receta,
ws-ma0075,EXT. SALSA ROJAMAICA,extras,SI,SIN_FUENTE,receta (sub-receta salsa),
ws-mar436,CHAMOYADA MARACUYA,frappes,SI,SIN_FUENTE,crear receta,
ws-ch002,CHAMOYADA PINA-TAMARINDO,frappes,SI,SIN_FUENTE,crear receta,
fr1,FRAPPE MATCHA,frappes,SI,RECETA_INVALIDA,arreglar unidad/ingrediente,
fr4,Frappe Oreo,frappes,NO,RECETA_INVALIDA,inactivo,
ws-fra22042501,MANGO PEACH PASSION FRUIT,frappes,SI,SIN_FUENTE,crear receta,
f5,Horchata Natural,fresh,NO,RECETA_INVALIDA,inactivo,
f4,Jamaica Natural,fresh,NO,RECETA_INVALIDA,inactivo,
ws-7503026985038,KOMBUCHA JAMAICA SALVAJE 377ML,fresh,SI,SIN_FUENTE,direct_stock (embotellado),
ws-beb032,KOMBUCHA MANZANA JENGIBRE 377ML,fresh,SI,SIN_FUENTE,direct_stock (embotellado),
ws-7503026985045,KOMBUCHA MORA FEROZ 377ML,fresh,SI,SIN_FUENTE,direct_stock (embotellado),
ws-ext022,BOLA DE NIEVE POSTRE,icecream,SI,SIN_FUENTE,direct_stock (porcion),
ws-lug002,NIEVE CHOC AVELLANA 130GR,icecream,SI,SIN_FUENTE,direct_stock,
ws-lug003,NIEVE PAY DE LIMON 130GR,icecream,SI,SIN_FUENTE,direct_stock,
ws-lug001,NIEVE FRUTOS ROJOS 130GR,icecream,SI,SIN_FUENTE,direct_stock,
ws-lug004,NIEVE MARACUYA-GUANABANA 130GR,icecream,SI,SIN_FUENTE,direct_stock,
ws-lug005,NIEVE VAINILLA PAPANTLA 130GR,icecream,SI,SIN_FUENTE,direct_stock,
ws-amajug18032601,JUGO ALERT SERVIDO,jugos,SI,SIN_FUENTE,crear receta,
j3,Jugo Be Inmune,jugos,NO,RECETA_INVALIDA,inactivo,
ws-amajug18032602,JUGO BE INMUNE SERVIDO,jugos,SI,SIN_FUENTE,crear receta,
j4,Jugo Dr Detox,jugos,NO,RECETA_INVALIDA,inactivo,
ws-amajug18032603,JUGO DR DETOX SERVIDO,jugos,SI,SIN_FUENTE,crear receta,
ws-be5020,JUGO GREEN ALCHEMIST SERVIDO,jugos,SI,SIN_FUENTE,crear receta,
j5,Jugo U Glow,jugos,NO,RECETA_INVALIDA,inactivo,
ws-amajug18032604,JUGO U GLOW SERVIDO,jugos,SI,SIN_FUENTE,crear receta,
